Timestamp,Description of the situation the animal is in,Animal type,TypeOfSituation
27-05-2021 12.29,There has been this awful smell from the drums behind my house when i went to inspect i couldnt see the animal but it started hissing mostly it is a snake please send help ,Snake,Seems lost / displaced / abandoned
27-05-2021 19.50,my cat is stuck on the top of the tree she is not coming down and is very scared she is a persian cat near NGV park ,Cat,Seems lost / displaced / abandoned
27-05-2021 19.53,On commercial street a horse has been causing havoc it seems lost and agitated its injured on its right hind leg the horse is brown in colour and has a harness around its face  ,Horse,Injured /Sick
27-05-2021 19.56,"a cow is burnt on its left side ,it cant move seems like someone tied a firecracker on its tail this is near PES College electronic city ",Cattle,Injured /Sick
27-05-2021 19.59,I saw cruelty being done on an elephant in a zoo they were pocking its thighs and head with pointy sticks the elephant was bleeding from its thighs please look into this ,Elephant,Cruelty being done
27-05-2021 20.01,Someone left a bunch of kittens at my door step there are 4 kittens with 3 having white spots and white belly while one is completely black as i cant keep them i would like them to be listed for adoption,Cat,Adoption
27-05-2021 20.05,there was this huge explosion outside my house followed by power cutoff when i looked outside there was a monkey on the power lines ,Monkey,dead 
27-05-2021 20.14,i heard that a pet shop near in ejipura has been illegally breeding animals to meet the needs of customers its near amazon aquatech ,dogs and cats ,Illegal breeding
27-05-2021 20.17,one of my neighbour owns a monitor lizard that they caught in there backyard I do not know how legal that is but it does cause a lot of mental stress ,monitor lizard,Illegal possession of animal / exotic/ endangered species
27-05-2021 20.20,pet shop selling exotic fishes and birds which seems illegal cause they have a betting system ,Bird (except pigeon),Illegal pet shop
27-05-2021 20.21,Im new to this town and my puppy needs neutering as its been little late than the normal age they need to be neutered ,Dog,Neutering
27-05-2021 20.24,I saw a donkey/smal horse tied to a chain in a cage i couldnt tell properly cause it had lost most of its fur and was completely injured and covered in dirt ,Horse,Injured /Sick
27-05-2021 20.26,the owners of the house next to mine shifted recently and they didnt take there hens with them they dont have food and are locked in a small cage ,Hen,Cruelty being done
27-05-2021 20.27,a circus recently in my town had a old injured lion inside a very small cage it has lost most of its fur ,lion,Cruelty being done
27-05-2021 20.30,i lost my dog three days back i searched everywhere and today i found him in a pet shop when i went to fight and get my dog back they kicked me out of the store im scared they will send my dog to one of their other store and i wont find him ever,Dog,Illegal possession of animal / exotic/ endangered species
27-05-2021 20.37,my neighbour caught a small snake looks like a king cobra and has never handed it over to the officers he keeps it in a empty aquarium glass tank ,Snake,Illegal possession of animal / exotic/ endangered species
28-05-2021 23.08,A black bore has entered our school and is causing havoc to one is able to catch it . It is very agitated and is charging at anything that it sees ,Pig,Seems lost / displaced / abandoned
28-05-2021 23.11,In my society there are many stray dogs before covid people used to feed them biscuits and food but now as no one comes out of there house they have become very weak these dogs need help,Dog,Weak / Underfed / Malnourished
28-05-2021 23.13,HELP i saw a woman beet its dog continuously until it started falling down and limping when i asked she said it was her dog and to mind my own business  ,Dog,Cruelty being done
28-05-2021 23.17,squirrels have taken over my attic i do not want to use mouse traps on squirrels and i do not know how to get rid of them ,Squirrel,infestation 
28-05-2021 23.20,maybe a tiger was spotted on my cctv camera I dont know who to complaint or what to do i this concerns my security ,lion/tiger/leopard/cheetah(big carnivorous),Seems lost / displaced / abandoned
28-05-2021 23.32,"Found an injured monkey near Yelahanka Lake . It's not able to walk and it's bleeding . Needs immediate assistance 
",Monkey,Injured /Sick
28-05-2021 23.32,"A dog is being treated badly and Is being hit by a group of people near Electronic City flyover . He is in a very bad condition and needs immediate help 
",Dog,Injured /Sick
28-05-2021 23.32,I found a snake in the bushes near New BEL road park while walking . It is dangerous as this is a crowded area . Urgently need someone to look into this    ,Snake,Injured /Sick
28-05-2021 23.36,NEED HELP URGENTLY !! A white Cat is unconscious on the road and is not responding to sounds but eyes are moving  . There is lot of traffic in this area and it might get killed! ,Cat,Injured /Sick
28-05-2021 23.38,I just found some people  breeding dogs illegally in my layout . Needs attention as this is not allowed. This has been going on from some time ,Dog,Illegal breeding
28-05-2021 23.42,Found 2 pigeons on the footpath near Hebbal flower.  They are unable to fly and are struggling to stand up as well . Looks like their wings are badly damaged. Please help ASAP,Pigeon,Injured /Sick
28-05-2021 23.48,Stray dog with broken hind leg and bleeding. Probably run over by a car.,Dog,Injured /Sick
28-05-2021 23.57,"Found a group of  puppies maybe 2 month old  who are very skinny , bones are showing . No sign of their mother around . They are very weak and need milk and food . ",Dog,Weak / Underfed / Malnourished
29-05-2021 0.00,Found a pig with broken leg and struggling to move near outskirts of electronic city . Needs help ,Pig,Injured /Sick
29-05-2021 0.03,Found a peacock near my farmhouse . It seems lost and is very beautiful . Need some help to come and rescue it safely back to the sanctuary  it may have escaped or gotten lost,Peacock,Seems lost / displaced / abandoned
29-05-2021 0.06,A dog has given birth to a lot of cute puppies in my college campus . However there is nobody to take care of them and feed them and they are hungry . One puppy has already died in an accident . Need help in giving these puppies required care ,Dog,Weak / Underfed / Malnourished
29-05-2021 0.08,Found a pet dog near my layout . He has been abandoned as he has a collar around his neck. He is healthy and I have kept him with me for a few days . However due to my dynamic work needs I cannot keep him for long and want to put him up for adoption. Help needed to find him a home ,Dog,Adoption
30-05-2021 22.47,"While driving near Yelahanka new town main road , I spotted a cat laying still in the side of the road. Don't know if it was alive or not but wanted to report this ",Cat,Injured /Sick
30-05-2021 22.51,Found a squirrel with an injured tail in my balcony this morning . It might have I hired its tail trying to come through the metal enclosure in my balcony. Needs medical care as it's bleeding near tail area ,Squirrel,Injured /Sick
01-06-2021 11.19,Pet cat has run away from home. ,Cat,Seems lost / displaced / abandoned
01-06-2021 11.21,"Pregnant dog very sick and weak after giving birth. If mother dies, 8 puppies will be orphaned and left to the risk of being eaten.",Dog,Weak / Underfed / Malnourished
01-06-2021 11.29,"A group of about 4-5 parrots are stuck in a bush fire near Motherhood Hospital, Sarjapur Road. Please help",Bird (except pigeon),"Injured /Sick, Rescue"
01-06-2021 11.33,A bunch of ducklings are stuck inside a gutter. There is no water flow. They have been stuck there for 2 days from what I've heard. ,Bird (except pigeon),"Injured /Sick, Rescue"
01-06-2021 11.35,"There seems to be a lost pet, exotic rabbit jumping around in the streets of 100ft road, Koramanagala. The rabbit is brown with white patches. It's a small rabbit.",Rabbit,Seems lost / displaced / abandoned
01-06-2021 11.39,"A flat (1D-603) in my apartment illegally posses a white head capuchin monkey. From what I presume, they've got it as an illegal transaction. They plan on leaving the apartment soon. Please help.",Monkey,Illegal possession of animal / exotic/ endangered species
01-06-2021 11.48,"Too many pigeons have infested apartments in Sarjapur Road some being - Divyasree Elan, Springfields, Mantri Flora. They're causing havoc, killing plants, dirtying the place with their droppings. We have tried to put nets in the balconies against them flying in, but in vain. Please do help us.",Pigeon,Infestation
01-06-2021 11.50,THERE IS A PET SHOP IN HARLUR ROAD WHICH SELLS PARROTS AND WHITE PEGIONS. THEY ALSO BREED SMALL BIRDS AND COLOR THEM TO MAKE THEM LOOK EXOTIC AND SELL THEM AT A VERY HUGE PRICE. THIS IS ILLEGAL!! PLEASE HELP ME REPORT THEM AND HAND THEM OVER TO THE RIGHT PEOPLE FOR STRICT ACTIONS.,Bird (except pigeon),"Cruelty being done, Illegal pet shop"
01-06-2021 11.58,"There is a lady living in a big house in HAL where she breeds Dalmatians illegally to make white and black spotted coats and sells them internationally. This is just pathetic. She has a lot of powerful people behind her and hence no one has ever been able to do anything about it. Now i know this is a  lot to ask for, but can an NGO/ shelter with contacts please help us take this to the court? ",Dog,"Cruelty being done, Illegal breeding"
01-06-2021 12.03,Horses and Donkeys being beaten up and used for labor in and around Lal Bagh. They're malnourished and frightened. I have tried helping them many times but then are too scared to let anyone come near them. ,Horse,"Weak / Underfed / Malnourished, Cruelty being done"
01-06-2021 12.13,"URGENT! , While driving on bangalore-Mysore Highway I found a bleeding baby monkey on the road . It must have been injured in a road accident . Need assistance ASAP !",Monkey,Injured /Sick
01-06-2021 12.42,The animal is hungry okay?,Dog,Weak / Underfed / Malnourished
01-06-2021 12.50,Huge litter of kittens and no one to feed them.,Cat,Weak / Underfed / Malnourished
01-06-2021 13.19,Hit by a vehicle and very badly injured ,Dog,Injured /Sick
01-06-2021 13.35,Street dog with left back leg injured ,Dog,Injured /Sick
01-06-2021 14.04,A stray dog with an injured leg found. He was limping and in pain,Dog,"Injured /Sick, Seems lost / displaced / abandoned"
01-06-2021 15.08,a bird with a name tag around it's neck keeps coming to our balcony to drink water,Bird (except pigeon),Seems lost / displaced / abandoned
01-06-2021 20.42,Snake abandoned and covered in ticks,Snake,Seems lost / displaced / abandoned
02-06-2021 1.31,Lost or abandoned cat with name tag and collar found. Extremely malnourished and need immediate attention.,Cat,Weak / Underfed / Malnourished
02-06-2021 9.52,3 pups found abandoned. Stray type,Dog,Seems lost / displaced / abandoned
02-06-2021 9.53,Kite is lying unmoving under a tree,Bird (except pigeon),Weak / Underfed / Malnourished
02-06-2021 9.54,Pet dog of neighbour seems malnourished,Dog,Cruelty being done
02-06-2021 9.54,Pet dog caged whole day and taken out for few minutes only to relieve himself,Dog,Cruelty being done
02-06-2021 9.55,Pet dog tied in sun and rain whole day,Dog,Cruelty being done
02-06-2021 9.56,Snake found inside bathroom in our house,Snake,Rescue
02-06-2021 9.56,Monkey fell from tree and lying unmoved,Monkey,Injured /Sick
02-06-2021 9.57,Best found on ground after storm. It has eggs,Bird (except pigeon),Rescue
02-06-2021 9.59,Hens stuffed in cages in shop,Hen,Cruelty being done
02-06-2021 10.00,Tiger cubs spotted in neighbours house,lion/tiger/leopard/cheetah(big carnivorous),Illegal possession of animal / exotic/ endangered species
02-06-2021 10.01,Horse leg injured. Needs attention,Horse,Injured /Sick
02-06-2021 10.03,Baby squirrel has entered inside home,Squirrel,Seems lost / displaced / abandoned
02-06-2021 10.04,We want to give our pet dog for adoption. 3 years. Labrador black. Male,Dog,Adoption
02-06-2021 10.05,"Cow not able to walk, on road since 2 days",Cattle,Rescue
02-06-2021 10.05,Pigeon is not able to fly,Pigeon,Injured /Sick
02-06-2021 10.06,Elephant being ill treated n tied whole day,Elephant,Cruelty being done
15-06-2021 16.16,Stray dog is biting people in my colony without any real . He is very  aggresive . We need some professional to come take the dog to where he can be sheltered and treated . It is very dangerous for small children and old people ,Dog,Aggresive animal 
15-06-2021 16.17,Found an Injured cow near the base of Nandi hills while trekking . It's not able to move and is in a bad condition,Cattle,Injured /Sick
15-06-2021 16.19,Found a nest fallen near my street with small baby birds who are injured . No sign of the mother . They need to be rescued ,Bird (except pigeon),Injured /Sick
25-06-2021 19.24,HORSE TRAPPED IN LAKE its trying its best to come out but its completely tired ,Horse,Rescue
25-06-2021 19.26,SWAN TRAPPED and injured .It cant fly but its alive assistance needed  in catching the swan and treating it,Bird (except pigeon),Injured /Sick
25-06-2021 19.28,Fox trapped in a fence and its not able to free itself and is resisting to anyone helping it,lion/tiger/leopard/cheetah(big carnivorous),Injured /Sick
25-06-2021 19.29,Snake trapped in a fishhing net and we are too scared to remove it from there,Snake,Seems lost / displaced / abandoned
25-06-2021 19.30,Pigeon trapped in mesh its not able to free itself ,Pigeon,Rescue
25-06-2021 19.31,baby Monkey trapped inside the chimney pipe it sounds injured PLS SEND HELP,Monkey,Injured /Sick
25-06-2021 19.32,Donkey stuck in a mud field near college as it rained heavily here ,Donkey,Rescue
25-06-2021 19.34,Baby elephant stuck in a river and the currents are rising send help,Elephant,Rescue
25-06-2021 19.35,I recently went on a safari and i saw bunch of people had had caught baby elephant in a cage  ,Elephant,Illegal possession of animal / exotic/ endangered species
25-06-2021 19.36,I am leaving this town and i was fostering these 6 kittens need them up for adoption,Cat,Adoption
25-06-2021 19.38,I heard that there is illegal breeding of cats happening in my neighborhood ,Cat,Illegal breeding
25-06-2021 19.39,The ground floor of my building have been converted to a pet shop and they don't maintain a single sanitary standards ,Bird (except pigeon),Illegal pet shop
25-06-2021 19.41,peacock trapped under the bus luckily we heard something before starting the engine ,Peacock,Seems lost / displaced / abandoned
25-06-2021 19.41,i recently shifted to this town and need my cat to be neutered ,Cat,Neutering
25-06-2021 19.43,Hen trapped in netting and is not letting anyone help the hen,Hen,Rescue
25-06-2021 19.45,Donkey near my college is really thin and bony he would it is starving and is scared of everyone ,Donkey,Weak / Underfed / Malnourished
25-06-2021 19.46,rabbit head stuck in a fence near my house idk from where it came here ,Rabbit,Seems lost / displaced / abandoned
25-06-2021 19.47,Rabbit isnt able to move but is still alive must have been attacked by someone ,Rabbit,Injured /Sick
25-06-2021 21.10,peacock trapped in netting seems like its been here for sometime very week,Peacock,Injured /Sick
25-06-2021 21.12,peacock illegally kept by a pet shop owner .I dont think a peacock should be kept in glass cage,Peacock,Illegal possession of animal / exotic/ endangered species
25-06-2021 21.13,cow got its head stuck in the gate of our complex wont let anyone help,Cattle,Seems lost / displaced / abandoned
25-06-2021 21.15,baby Donkey has been left behind and has been here since 4 days its seems lost and mallnurished,Donkey,Seems lost / displaced / abandoned
25-06-2021 21.16,I found a snake in the bushes near New BEL road park while walking . It is dangerous as this is a crowded area . Urgently need someone to look into this   ,Snake,Seems lost / displaced / abandoned
25-06-2021 21.18,wild pig on loose its on the streets of vegetable vendors and is causing a havoc if the help doesn't arrive soon the vegetable vendors will start hitting it,Pig,Seems lost / displaced / abandoned
25-06-2021 21.19,pigs head is stuck in between the railings  ,Pig,Injured /Sick
25-06-2021 21.21,Hens are being kept in a very unsanitary ways with hundreds of hens in one small space to cut cost and increase production of chicken meat,Hen,Cruelty being done
25-06-2021 21.24,Lion sightings in our neighborhood after the lockdown started  ,lion/tiger/leopard/cheetah(big carnivorous),Seems lost / displaced / abandoned
25-06-2021 21.26,Rabbit have made a nest between the walls of my house there is always a scratching noise ,Rabbit,Rescue
05-07-2021 21.56,A dog's head stuck in pipe,Dog,Freak accident
05-07-2021 21.57,Monkey injured by dogs attack,Monkey,Injured /Sick
05-07-2021 21.57,Crows lying on roadside quietly,Bird (except pigeon),Weak / Underfed / Malnourished
05-07-2021 21.58,Lot of puppies and dogs kept  in filthy cages ,Dog,Illegal breeding
05-07-2021 21.59,A shop selling fish and birds without license,Bird (except pigeon),Illegal pet shop
06-07-2021 21.12,Cow needs help as it's bleeding,Cattle,Injured /Sick
06-07-2021 21.13,A stray dog needs to be neutered under abc program,Dog,Neutering
06-07-2021 21.14,2 cats up for adoption as owner leaving city and not taking them,Cat,Adoption
06-07-2021 21.15,A paralyzed dog requires rehabilitation,Dog,Temporary care
06-07-2021 21.15,Saw a dog roaming seems like a pet,Dog,Seems lost / displaced / abandoned
